course_id,course_code,course_title,course_grade,course_credits,course_points,course_gpa,comments,CGPA
1013,CMPS245,DATABASE MANAGEMENT SYSTEMS I,B+,3.00,10.50,3.50,,3.32
1035,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,B,3.00,9.00,3.00,,3.32
1057,CMPS316,PROGRAMMING LANGUAGES,C+,3.00,7.50,2.50,,3.32
1079,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B+,3.00,10.50,3.50,,3.32
1101,CMPS418,LINUX ADMINISTRATION,B+,3.00,10.50,3.50,,3.32
1123,CMPS157,SYSTEM ANALYSIS,B+,3.00,10.50,3.50,,3.32
1145,MATH125,ADVANCED ALGEBRA,A-,3.00,11.25,3.75,,3.32
1167,PSYC221,INTRO TO PSYCHOLOGY,B+,3.00,10.50,3.50,,3.32
1189,SOCL221,INTRODUCTION TO SOCIOLOGY,B,3.00,9.00,3.00,,3.32
1211,CMPS416,COMPILER CONSTRUCTION,B,3.00,9.00,3.00,,3.32
1233,MAT103,TRIGONOMETRY 1,WF,3.00,0.00,0.00,,1.33
1255,CMPS144,PRINCIPLES OF PROGRAMMING II,F,3.00,0.00,0.00,,1.33
1277,MATH1302,CALCULUS I,WF,3.00,0.00,0.00,REPEAT,1.33
1299,MGMT1014,FUNDAMENTALS OF MANAGEMENT,C,3.00,6.00,2.00,REPEAT,1.33
1321,ENGL2105,COMMUNICATION SKILLS,B+,3.00,10.50,3.50,,1.33
1343,CMPS1232,PRINCIPLES OF PROGRAMMING II,F,3.00,0.00,0.00,REPEAT,1.33
1365,CMPS2111,SYSTEMS ANALYSIS,F,3.00,0.00,0.00,REPEAT,1.33
1387,CMPS142,PRINCIPLES OF PROGRAMMING I,F,3.00,0.00,0.00,,1.33
1409,CMPS318,ADVANCED PC REPAIR,D+,3.00,4.50,1.50,,1.33
1431,CMPS157,SYSTEM ANALYSIS,WF,3.00,0.00,0.00,,1.33
1453,MATH104,CALCULUS I,WF,3.00,0.00,0.00,,1.33
1475,MATH1201,TRIGONOMETRY,RE,3.00,0.00,0.00,REPEAT,1.33
1497,CMPS2111,SYSTEMS ANALYSIS,RE,3.00,0.00,0.00,REPEAT,1.33
1519,MATH1201,TRIGONOMETRY,NG,3.00,,,REPEAT,1.33
1541,MATH1201,TRIGONOMETRY,NG,3.00,,,,1.33
1563,MGMT1014,FUNDAMENTALS OF MANAGEMENT,B+,3.00,10.50,3.50,,1.33
1585,CMPS4251,COMPUTER AND NETWORK SECURITY,RE,3.00,0.00,0.00,,1.33
1607,CMPS4181,MOBILE APPLICATION DEVELOPMENT,RE,3.00,0.00,0.00,,1.33
1629,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,F,3.00,0.00,0.00,,1.33
1651,MGMT101,APPLIED MANAGEMENT I,WF,3.00,0.00,0.00,,1.33
1673,CMPS360,MANAGEMENT INFORMATION SYSTEM,B+,3.00,10.50,3.50,,1.33
1695,CMPS1131,PROGRAMMING I,C,3.00,6.00,2.00,,1.33
1717,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,F,3.00,0.00,0.00,,1.33
1739,MATH1302,CALCULUS I,F,3.00,0.00,0.00,,1.33
1761,CMPS2111,SYSTEMS ANALYSIS,RE,3.00,0.00,0.00,,1.33
1783,CMPS245,DATABASE MANAGEMENT SYSTEMS I,F,3.00,0.00,0.00,,1.33
1805,MATH1201,TRIGONOMETRY,F,3.00,0.00,0.00,REPEAT,1.33
1827,CMPS1232,PRINCIPLES OF PROGRAMMING II,C,3.00,6.00,2.00,,1.33
1849,MATH1201,TRIGONOMETRY,WF,3.00,0.00,0.00,REPEAT,1.33
1871,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,RE,3.00,0.00,0.00,REPEAT,1.33
1893,MATH1302,CALCULUS I,RE,3.00,0.00,0.00,REPEAT,1.33
1915,CMPS4151,NETWORK ENGINEERING,F,3.00,0.00,0.00,REPEAT,1.33
1937,CMPS4151,NETWORK ENGINEERING,RE,3.00,0.00,0.00,,1.33
1959,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,RE,3.00,0.00,0.00,REPEAT,1.33
1981,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,F,3.00,0.00,0.00,REPEAT,1.33
2003,CMPS315,NETWORK ENGINEERING,WF,3.00,0.00,0.00,,1.33
2025,CMPS4251,COMPUTER AND NETWORK SECURITY,RE,3.00,0.00,0.00,REPEAT,1.33
2047,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,F,3.00,0.00,0.00,,1.33
2069,ENGL3155,TECHNICAL WRITING,A,3.00,12.00,4.00,,1.33
2091,CMPS4231,DIGITAL LOGIC & SIGNAL PROCESSING,RE,3.00,0.00,0.00,,1.33
2113,CMPS4251,COMPUTER AND NETWORK SECURITY,F,3.00,0.00,0.00,REPEAT,1.33
2135,CMPS3232,SYSTEMS ADMINISTRATION,F,3.00,0.00,0.00,,1.33
2157,CMPS146,PROGRAMMING FOUNDATIONS,B+,4.00,14.00,3.50,,3.62
2179,CMPS155,COMPUTER TECHNOLOGY,B+,3.00,10.50,3.50,,3.62
2201,CMPS248,SOFTWARE IN SOCIETY,B+,3.00,10.50,3.50,,3.62
2223,CMPS247,COMPUTER NETWORKING I,A,3.00,12.00,4.00,,3.62
2245,CMPS314,ALGORITHMS,F,3.00,0.00,0.00,,1.23
2267,ENGL318,TECHNICAL WRITING.,C,3.00,6.00,2.00,,1.23
2289,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,D+,3.00,4.50,1.50,,1.23
2311,CMPS324,SOFTWARE ENGINEERING,C,3.00,6.00,2.00,,1.23
2333,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,F,3.00,0.00,0.00,,1.23
2355,CMPS414,NETWORKING II,F,3.00,0.00,0.00,,1.23
2377,CMPS314,ALGORITHMS,D,3.00,3.00,1.00,,1.23
2399,CMPS316,PROGRAMMING LANGUAGES,B,3.00,9.00,3.00,,1.23
2421,MATH330,DISCRETE MATHEMATHICS,D+,3.00,4.50,1.50,,1.23
2443,CMPS328,DATABASE MGMT. SYS. II,C+,3.00,7.50,2.50,,1.23
2465,CMPS314,ALGORITHMS,C+,3.00,7.50,2.50,,3.29
2487,ENGL318,TECHNICAL WRITING.,B,3.00,9.00,3.00,,3.29
2509,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.29
2531,CMPS416,COMPILER CONSTRUCTION,B,3.00,9.00,3.00,,3.29
2553,CMPS324,SOFTWARE ENGINEERING,B,3.00,9.00,3.00,,3.29
2575,CMPS328,DATABASE MGMT. SYS. II,F,3.00,0.00,0.00,REPEAT,3.29
2597,CMPS418,LINUX ADMINISTRATION,A-,3.00,11.25,3.75,,3.29
2619,CMPS316,PROGRAMMING LANGUAGES,C+,3.00,7.50,2.50,,3.29
2641,MATH330,DISCRETE MATHEMATHICS,C+,3.00,7.50,2.50,,3.29
2663,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.29
2685,MATH480,LINEAR PROGRAMMING.,B+,3.00,10.50,3.50,,3.29
2707,CMPS429,SENIOR INTERNSHIP,A,12.00,48.00,4.00,,3.29
2729,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.29
2751,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,B,3.00,9.00,3.00,,3.29
2773,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.29
2795,PHYS241,GENERAL PHYSICS I,B,3.00,9.00,3.00,,3.29
2817,MATH441,NUMERICAL ANALYSIS,B+,3.00,10.50,3.50,,3.29
2839,CMPS328,DATABASE MGMT. SYS. II,C+,3.00,7.50,2.50,,3.29
2861,MATH1201,TRIGONOMETRY,WF,3.00,0.00,0.00,,2.00
2883,CMPS1131,PROGRAMMING I,C,3.00,6.00,2.00,,2.00
2905,MATH1151,ALGEBRA,C,3.00,6.00,2.00,,2.00
2927,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,A-,3.00,11.25,3.75,,3.71
2949,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B+,3.00,10.50,3.50,,3.71
2971,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.71
2993,CMPS418,LINUX ADMINISTRATION,A,3.00,12.00,4.00,,3.71
3015,MATH330,DISCRETE MATHEMATHICS,B,3.00,9.00,3.00,,3.71
3037,CMPS324,SOFTWARE ENGINEERING,A,3.00,12.00,4.00,,3.71
3059,CMPS328,DATABASE MGMT. SYS. II,A-,3.00,11.25,3.75,,3.71
3081,CMPS314,ALGORITHMS,A-,3.00,11.25,3.75,,3.71
3103,ENGL318,TECHNICAL WRITING.,A-,3.00,11.25,3.75,,3.71
3125,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.71
3147,CMPS416,COMPILER CONSTRUCTION,A,3.00,12.00,4.00,,3.71
3169,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,B+,3.00,10.50,3.50,,3.71
3191,PHYS241,GENERAL PHYSICS I,A-,3.00,11.25,3.75,,3.71
3213,MATH441,NUMERICAL ANALYSIS,A-,3.00,11.25,3.75,,3.71
3235,CMPS316,PROGRAMMING LANGUAGES,A,3.00,12.00,4.00,,3.71
3257,MATH326,LINEAR PROGRAMMING,A-,3.00,11.25,3.75,,3.71
3279,CMPS429,SENIOR INTERNSHIP,B+,12.00,42.00,3.50,,3.71
3301,CMPS324,SOFTWARE ENGINEERING,WP,3.00,0.00,0.00,,3.50
3323,CMPS321,TELECOMMUNICATIONS SYSTEMS,F,3.00,0.00,0.00,REPEAT,3.50
3345,CMPS321,TELECOMMUNICATIONS SYSTEMS,B+,3.00,10.50,3.50,,3.50
3367,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B,3.00,9.00,3.00,,3.50
3389,PHYS241,GENERAL PHYSICS I,A-,3.00,11.25,3.75,,3.50
3411,CMPS429,SENIOR INTERNSHIP,A,12.00,48.00,4.00,,3.50
3433,CMPS332,P C REPAIR,B+,3.00,10.50,3.50,,3.50
3455,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B+,3.00,10.50,3.50,,3.50
3477,CMPS414,NETWORKING II,D+,3.00,4.50,1.50,,3.50
3499,CMPS319,SYSTEMS ENGINEERING,B+,3.00,10.50,3.50,,3.50
3521,CMPS328,DATABASE MGMT. SYS. II,A,3.00,12.00,4.00,,3.50
3543,CMPS416,COMPILER CONSTRUCTION,B,3.00,9.00,3.00,,3.50
3565,CMPS315,NETWORK ENGINEERING,A-,3.00,11.25,3.75,,3.50
3587,CMPS422,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,B+,3.00,10.50,3.50,,3.50
3609,CMPS314,ALGORITHMS,A,3.00,12.00,4.00,,3.77
3631,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,A,3.00,12.00,4.00,,3.77
3653,CMPS324,SOFTWARE ENGINEERING,A-,3.00,11.25,3.75,,3.77
3675,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.77
3697,MATH330,DISCRETE MATHEMATHICS,A,3.00,12.00,4.00,,3.77
3719,MATH326,LINEAR PROGRAMMING,A-,3.00,11.25,3.75,,3.77
3741,MATH441,NUMERICAL ANALYSIS,A-,3.00,11.25,3.75,,3.77
3763,ENGL318,TECHNICAL WRITING.,B+,3.00,10.50,3.50,,3.77
3785,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,A-,3.00,11.25,3.75,,3.77
3807,CMPS328,DATABASE MGMT. SYS. II,A-,3.00,11.25,3.75,,3.77
3829,CMPS316,PROGRAMMING LANGUAGES,A,3.00,12.00,4.00,,3.77
3851,CMPS417,JAVA PROGRAMMING,A-,3.00,11.25,3.75,,3.77
3873,PHYS241,GENERAL PHYSICS I,A-,3.00,11.25,3.75,,3.77
3895,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.77
3917,CMPS416,COMPILER CONSTRUCTION,A,3.00,12.00,4.00,,3.77
3939,CMPS429,SENIOR INTERNSHIP,B+,12.00,42.00,3.50,,3.77
3961,CMPS412,ADVANCED COMPUTER ARCHITECTURE,A-,3.00,11.25,3.75,,3.77
3983,MGMT101,APPLIED MANAGEMENT I,A-,3.00,11.25,3.75,,3.50
4005,CMPS360,MANAGEMENT INFORMATION SYSTEM,A-,3.00,11.25,3.75,,3.50
4027,CMCN209,COMMUNICATION SKILLS,C+,3.00,7.50,2.50,,3.50
4049,CMPS242,GUI PROGRAMMING,WP,3.00,0.00,0.00,,3.50
4071,CMPS318,ADVANCED PC REPAIR,B,3.00,9.00,3.00,,3.50
4093,MATH1302,CALCULUS I,B+,3.00,10.50,3.50,,2.63
4115,CMPS3111,PROGRAMMING LANGUAGES,D+,3.00,4.50,1.50,,2.63
4137,CMPS213,BASIC PC REPAIR,A-,3.00,11.25,3.75,,3.50
4159,CMPS244,WEB APPLICATION DEV. 1,A-,3.00,11.25,3.75,,3.50
4181,CMPS3131,ADVANCED GUI PROGRAMMING,D,3.00,3.00,1.00,,2.63
4203,MATH3251,CALCULUS III,RE,3.00,0.00,0.00,,2.63
4225,CMPS1134,FUNDAMENTALS OF COMPUTING,A-,3.00,11.25,3.75,,2.63
4247,ENGL318,TECHNICAL WRITING.,A,3.00,12.00,4.00,,3.50
4269,MATH2201,CALCULUS II,C,3.00,6.00,2.00,,2.63
4291,CMPS1124,AN INTRODUCTION TO PROGRAMMING USING PYTHON,A,3.00,12.00,4.00,,2.63
4313,PHYS241,GENERAL PHYSICS I,B,3.00,9.00,3.00,,3.20
4335,CMPS315,NETWORK ENGINEERING,B+,3.00,10.50,3.50,,3.20
4357,CMPS411,COMPUTER NETWORK SECURITY,C+,3.00,7.50,2.50,,3.20
4379,CMPS422,SENIOR SEMINAR IN INFORMATION TECHNOLOGY,A,3.00,12.00,4.00,,3.20
4401,MATH333,CALCULUS III,C,3.00,6.00,2.00,,3.20
4423,CMPS317,ADVANCED GUI DEVELOPMENT,C+,3.00,7.50,2.50,,3.20
4445,CMPS360,MANAGEMENT INFORMATION SYSTEM,B+,3.00,10.50,3.50,,3.20
4467,CMPS321,TELECOMMUNICATIONS SYSTEMS,B,3.00,9.00,3.00,,3.20
4489,CMPS318,ADVANCED PC REPAIR,A,3.00,12.00,4.00,,3.20
4511,MATH203,CALCULUS II,C,3.00,6.00,2.00,,3.20
4533,CMPS424,PROFESSIONAL PRACTICE,A-,12.00,45.00,3.75,,3.20
4555,CMPS316,PROGRAMMING LANGUAGES,B+,3.00,10.50,3.50,,3.20
4577,CMCN209,COMMUNICATION SKILLS,B+,3.00,10.50,3.50,,3.20
4599,CMPS144,PRINCIPLES OF PROGRAMMING II,B,3.00,9.00,3.00,,3.20
4621,ENGL112,COLLEGE ENGLISH II,B+,3.00,10.50,3.50,,3.20
4643,ENGL318,TECHNICAL WRITING.,B+,3.00,10.50,3.50,,3.20
4665,CMPS314,ALGORITHMS,C,3.00,6.00,2.00,REPEAT,3.20
4687,CMPS319,SYSTEMS ENGINEERING,A-,3.00,11.25,3.75,,3.20
4709,CMPS323,SYSTEMS ADMINISTRATION,B+,3.00,10.50,3.50,,3.20
4731,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,C+,3.00,7.50,2.50,,3.20
4753,MATH203,CALCULUS II,WP,3.00,0.00,0.00,REPEAT,3.20
4775,MATH322,LINEAR ALGEBRA 1,B,3.00,9.00,3.00,,3.20
4797,CMPS314,ALGORITHMS,C,3.00,6.00,2.00,,3.20
4819,CMPS314,ALGORITHMS,A-,3.00,11.25,3.75,,3.52
4841,CMPS324,SOFTWARE ENGINEERING,A-,3.00,11.25,3.75,,3.52
4863,MATH441,NUMERICAL ANALYSIS,A,3.00,12.00,4.00,,3.52
4885,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,A-,3.00,11.25,3.75,,3.52
4907,ENGL318,TECHNICAL WRITING.,A,3.00,12.00,4.00,,3.52
4929,MATH330,DISCRETE MATHEMATHICS,A,3.00,12.00,4.00,,3.52
4951,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,A,3.00,12.00,4.00,,3.52
4973,MATH326,LINEAR PROGRAMMING,A,3.00,12.00,4.00,,3.52
4995,CMPS429,SENIOR INTERNSHIP,C+,12.00,30.00,2.50,,3.52
5017,CMPS417,JAVA PROGRAMMING,W,3.00,0.00,0.00,,3.52
5039,CMPS316,PROGRAMMING LANGUAGES,A-,3.00,11.25,3.75,,3.52
5061,PHYS241,GENERAL PHYSICS I,A,3.00,12.00,4.00,,3.52
5083,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.52
5105,CMPS328,DATABASE MGMT. SYS. II,B+,3.00,10.50,3.50,,3.52
5127,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.52
5149,CMPS414,NETWORKING II,W,3.00,0.00,0.00,REPEAT,3.52
5171,CMPS412,ADVANCED COMPUTER ARCHITECTURE,A,3.00,12.00,4.00,,3.52
5193,CMPS416,COMPILER CONSTRUCTION,B,3.00,9.00,3.00,,3.52
5215,CMPS418,LINUX ADMINISTRATION,B,3.00,9.00,3.00,,3.52
5237,MATH330,DISCRETE MATHEMATHICS,C+,3.00,7.50,2.50,,3.26
5259,CMPS416,COMPILER CONSTRUCTION,C+,3.00,7.50,2.50,,3.26
5281,MATH480,LINEAR PROGRAMMING.,A-,3.00,11.25,3.75,,3.26
5303,CMPS328,DATABASE MGMT. SYS. II,C+,3.00,7.50,2.50,,3.26
5325,CMPS316,PROGRAMMING LANGUAGES,B+,3.00,10.50,3.50,,3.26
5347,CMPS314,ALGORITHMS,B+,3.00,10.50,3.50,,3.26
5369,CMPS316,PROGRAMMING LANGUAGES,C,3.00,6.00,2.00,REPEAT,3.26
5391,ENGL318,TECHNICAL WRITING.,B+,3.00,10.50,3.50,,3.26
5413,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,C+,3.00,7.50,2.50,,3.26
5435,PHYS241,GENERAL PHYSICS I,C+,3.00,7.50,2.50,,3.26
5457,CMPS418,LINUX ADMINISTRATION,B,3.00,9.00,3.00,,3.26
5479,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,B,3.00,9.00,3.00,,3.26
5501,CMPS324,SOFTWARE ENGINEERING,C+,3.00,7.50,2.50,,3.26
5523,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.26
5545,MATH203,CALCULUS II,WP,3.00,0.00,0.00,,1.75
5567,CMPS3111,PROGRAMMING LANGUAGES,F,3.00,0.00,0.00,,1.75
5589,CMPS244,WEB APPLICATION DEV. 1,B+,3.00,10.50,3.50,,1.75
5611,MGMT101,APPLIED MANAGEMENT I,B+,3.00,10.50,3.50,,1.75
5633,PHYS1015,GENERAL PHYSICS I,F,3.00,0.00,0.00,,1.75
5655,EDUC335,PHILOSOPHY OF EDUCATION,B,3.00,9.00,3.00,,2.55
5677,CMPS142,PRINCIPLES OF PROGRAMMING I,B+,3.00,10.50,3.50,,2.55
5699,MATH124,TRIGONOMETRY,C,3.00,6.00,2.00,,2.55
5721,PHIL210,ETHICS,A-,3.00,11.25,3.75,,2.55
5743,EDUC221,PROFESSIONALISM IN EDUCATION,A-,3.00,11.25,3.75,,2.55
5765,EDUC323,INSTRUCTIONAL TECHNIQUES,B,3.00,9.00,3.00,,2.55
5787,CMPS144,PRINCIPLES OF PROGRAMMING II,B+,3.00,10.50,3.50,,2.55
5809,CMPS247,COMPUTER NETWORKING I,D,3.00,3.00,1.00,,2.55
5831,CMPS144,PRINCIPLES OF PROGRAMMING II,F,3.00,0.00,0.00,REPEAT,2.55
5853,CMPS144,PRINCIPLES OF PROGRAMMING II,D+,3.00,4.50,1.50,REPEAT,2.55
5875,SPAN112,SPANISH II,F,3.00,0.00,0.00,,2.55
5897,CMPS245,DATABASE MANAGEMENT SYSTEMS I,F,3.00,0.00,0.00,REPEAT,2.55
5919,CMPS157,SYSTEM ANALYSIS,B+,3.00,10.50,3.50,,2.55
5941,CMPS246,COMPUTER ARCHITECTURE,C+,3.00,7.50,2.50,,2.55
5963,CMPS245,DATABASE MANAGEMENT SYSTEMS I,C+,3.00,7.50,2.50,,2.55
5985,SPED301,INTRO TO SPECIAL EDUCATION,C+,3.00,7.50,2.50,,2.55
6007,EDUC345,CLASSROOM ASSESSMENT,B,3.00,9.00,3.00,,2.55
6029,CMPS247,COMPUTER NETWORKING I,C+,3.00,7.50,2.50,,2.55
6051,CMPS248,SOFTWARE IN SOCIETY,B,3.00,9.00,3.00,,2.55
6073,CMPS146,PROGRAMMING FOUNDATIONS,D,4.00,4.00,1.00,,2.55
6095,CMPS155,COMPUTER TECHNOLOGY,C+,3.00,7.50,2.50,,2.55
6117,CMPS156,DATA STRUCTURES,W,3.00,0.00,0.00,,2.55
6139,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,A-,3.00,11.25,3.75,,3.20
6161,CMPS316,PROGRAMMING LANGUAGES,C,3.00,6.00,2.00,REPEAT,3.20
6183,CMPS322,DIGITAL LOGIC & SIGNAL PROCESSING,B+,3.00,10.50,3.50,,3.20
6205,CMPS314,ALGORITHMS,B,3.00,9.00,3.00,,3.20
6227,MATH330,DISCRETE MATHEMATHICS,C+,3.00,7.50,2.50,,3.20
6249,MATH441,NUMERICAL ANALYSIS,C,3.00,6.00,2.00,,3.20
6271,MATH480,LINEAR PROGRAMMING.,B+,3.00,10.50,3.50,,3.20
6293,CMPS328,DATABASE MGMT. SYS. II,B,3.00,9.00,3.00,,3.20
6315,CMPS332,P C REPAIR,A,3.00,12.00,4.00,,3.20
6337,CMPS416,COMPILER CONSTRUCTION,C+,3.00,7.50,2.50,,3.20
6359,CMPS418,LINUX ADMINISTRATION,C+,3.00,7.50,2.50,,3.20
6381,ENGL318,TECHNICAL WRITING.,B,3.00,9.00,3.00,,3.20
6403,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B,3.00,9.00,3.00,,3.20
6425,CMPS316,PROGRAMMING LANGUAGES,A-,3.00,11.25,3.75,,3.20
6447,CMPS414,NETWORKING II,A,3.00,12.00,4.00,,3.20
6469,CMPS324,SOFTWARE ENGINEERING,B,3.00,9.00,3.00,,3.20
6491,CMPS429,SENIOR INTERNSHIP,B+,12.00,42.00,3.50,,3.20
6513,CMPS247,COMPUTER NETWORKING I,A-,3.00,11.25,3.75,,3.35
6535,SOCL221,INTRODUCTION TO SOCIOLOGY,A-,3.00,11.25,3.75,,3.35
6557,CMPS417,JAVA PROGRAMMING,B+,3.00,10.50,3.50,,3.35
6579,MATH330,DISCRETE MATHEMATHICS,C+,3.00,7.50,2.50,,3.35
6601,MATH210,DIFFERENTIAL CALCULUS,B,4.00,12.00,3.00,,3.35
6623,CMPS412,ADVANCED COMPUTER ARCHITECTURE,B+,3.00,10.50,3.50,,3.35
6645,MATH326,LINEAR PROGRAMMING,B,3.00,9.00,3.00,,3.35
6667,MATH441,NUMERICAL ANALYSIS,A,3.00,12.00,4.00,,3.35
6689,GSTU101,STUDY SKILLS,B,1.00,3.00,3.00,,3.35
6711,ENGL112,COLLEGE ENGLISH II,A,3.00,12.00,4.00,,3.35
6733,CMPS255,OBJECT ORIENTED SYSTEM DEV.,A-,3.00,11.25,3.75,,3.35
6755,CMPS260,PROJECT,A,3.00,12.00,4.00,,3.35
6777,CMPS146,PROGRAMMING FOUNDATIONS,B,4.00,12.00,3.00,,3.35
6799,CMPS156,DATA STRUCTURES,C,3.00,6.00,2.00,,3.35
6821,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,C,3.00,6.00,2.00,,3.35
6843,CMPS414,NETWORKING II,C,3.00,6.00,2.00,,3.35
6865,ENGL318,TECHNICAL WRITING.,A,3.00,12.00,4.00,,3.35
6887,MATH124,TRIGONOMETRY,B,3.00,9.00,3.00,,3.35
6909,CMPS256,OPERATING SYSTEMS,B+,3.00,10.50,3.50,,3.35
