semester_id,student_id,semester,credits_attempted,credits_earned,semester_points,semester_gpa
48,4758,2004-1,3.00,3.00,7.50,2.90
49,4788,2004-2,3.00,3.00,10.50,3.40
50,4798,2005-1,3.00,3.00,10.50,3.65
51,4818,2002-2,3.00,3.00,10.50,3.50
52,4829,2002-2,3.00,3.00,11.25,3.50
53,4859,2002-2,3.00,3.00,10.50,3.50
54,4869,2003-2,3.00,3.00,9.00,3.04
55,4880,2005-1,3.00,3.00,9.00,3.65
56,4920,2008-1,3.00,0.00,0.00,0.38
57,4929,2008-2,3.00,3.00,0.00,1.75
58,4934,2011-2,3.00,0.00,0.00,2.00
59,4963,2011-2,3.00,3.00,6.00,2.00
60,4987,2011-3,3.00,3.00,10.50,3.50
61,5016,2013-2,3.00,3.00,0.00,0.00
62,5031,2014-1,3.00,3.00,0.00,0.00
63,5055,2016-1,3.00,3.00,0.00,0.00
64,5091,2008-1,3.00,3.00,0.00,0.38
65,5116,2008-1,3.00,3.00,4.50,0.38
66,5125,2008-2,3.00,0.00,0.00,1.75
67,5142,2008-2,3.00,0.00,0.00,1.75
68,5148,2012-3,3.00,0.00,0.00,
69,5165,2013-1,3.00,0.00,0.00,
70,5167,2013-3,3.00,,,
71,5181,2014-1,3.00,,,0.00
72,5207,2014-3,3.00,3.00,10.50,3.50
73,5237,2015-1,3.00,0.00,0.00,
74,5261,2015-2,3.00,0.00,0.00,
75,5265,2016-1,3.00,3.00,0.00,0.00
76,5287,2016-2,3.00,,,
77,5320,2008-2,3.00,0.00,0.00,1.75
78,5337,2008-2,3.00,3.00,10.50,1.75
79,5359,2011-1,3.00,3.00,6.00,1.00
80,5385,2011-1,3.00,3.00,0.00,1.00
81,5388,2012-1,3.00,0.00,0.00,
82,5394,2013-1,3.00,0.00,0.00,
83,5400,2013-2,3.00,3.00,0.00,0.00
84,5455,2015-1,3.00,0.00,0.00,
85,5464,2008-1,3.00,3.00,0.00,0.38
86,5483,2011-1,3.00,3.00,0.00,1.00
87,5501,2011-2,3.00,3.00,6.00,2.00
88,5523,2011-3,3.00,0.00,0.00,3.50
89,5529,2012-1,3.00,0.00,0.00,
90,5546,2012-2,3.00,0.00,0.00,
91,5555,2012-2,3.00,0.00,0.00,
92,5570,2014-1,3.00,3.00,0.00,0.00
93,5576,2015-1,3.00,0.00,0.00,
94,5595,2015-2,3.00,0.00,0.00,
95,5606,2016-1,3.00,3.00,0.00,0.00
96,5616,2008-1,3.00,0.00,0.00,0.38
97,5642,2012-1,3.00,0.00,0.00,
98,5661,2013-1,3.00,0.00,0.00,
99,5686,2013-1,3.00,0.00,0.00,
100,5696,2008-1,3.00,3.00,0.00,0.38
101,5702,2010-2,3.00,3.00,12.00,4.00
102,5713,2013-1,3.00,0.00,0.00,
103,5735,2014-1,3.00,3.00,0.00,0.00
104,5763,2014-2,3.00,3.00,0.00,0.00
105,5800,2002-1,4.00,4.00,14.00,3.50
106,5819,2002-2,3.00,3.00,10.50,3.50
107,5826,2003-1,3.00,3.00,10.50,3.75
108,5833,2003-1,3.00,3.00,12.00,3.75
109,5845,2003-1,3.00,3.00,0.00,0.00
110,5874,2002-1,3.00,3.00,6.00,1.50
111,5900,2002-2,3.00,3.00,4.50,2.00
112,5923,2002-2,3.00,3.00,6.00,2.00
113,5948,2003-1,3.00,3.00,0.00,0.00
114,5973,2003-1,3.00,3.00,0.00,0.00
115,5976,2002-1,3.00,3.00,3.00,1.50
116,5987,2002-1,3.00,3.00,9.00,1.50
117,6013,2002-1,3.00,3.00,0.00,1.50
118,6018,2002-1,3.00,3.00,4.50,1.50
119,6069,2002-2,3.00,3.00,7.50,2.00
120,6081,2004-1,3.00,3.00,7.50,2.70
121,6096,2004-1,3.00,3.00,9.00,2.70
122,6111,2005-1,3.00,3.00,12.00,3.55
123,6128,2005-1,3.00,3.00,9.00,3.55
124,6153,2004-2,3.00,3.00,9.00,3.20
125,6191,2004-2,3.00,3.00,0.00,3.20
126,6195,2005-1,3.00,3.00,11.25,3.55
127,6229,2004-1,3.00,3.00,7.50,2.70
128,6243,2004-1,3.00,3.00,7.50,2.70
129,6260,2004-2,3.00,3.00,12.00,3.20
130,6287,2005-1,3.00,3.00,10.50,3.55
131,6300,2005-2,12.00,12.00,48.00,3.70
132,6309,2004-2,3.00,3.00,9.00,3.20
133,6316,2004-1,3.00,3.00,9.00,2.70
134,6321,2004-2,3.00,3.00,9.00,3.20
135,6332,2004-2,3.00,3.00,9.00,3.20
136,6366,2005-1,3.00,3.00,10.50,3.55
137,6373,2005-2,3.00,3.00,7.50,3.70
138,6404,2012-1,3.00,0.00,0.00,2.00
139,6423,2012-1,3.00,3.00,6.00,2.00
140,6461,2012-1,3.00,3.00,6.00,2.00
141,6467,2003-2,3.00,3.00,11.25,3.79
142,6498,2003-2,3.00,3.00,10.50,3.79
143,6524,2004-1,3.00,3.00,12.00,3.90
144,6554,2004-1,3.00,3.00,12.00,3.90
145,6591,2003-1,3.00,3.00,9.00,3.60
146,6599,2003-2,3.00,3.00,12.00,3.79
147,6611,2003-2,3.00,3.00,11.25,3.79
148,6623,2003-1,3.00,3.00,11.25,3.60
149,6666,2003-1,3.00,3.00,11.25,3.60
150,6672,2003-2,3.00,3.00,12.00,3.79
151,6674,2004-1,3.00,3.00,12.00,3.90
152,6713,2003-1,3.00,3.00,10.50,3.60
153,6720,2003-2,3.00,3.00,11.25,3.79
154,6743,2004-1,3.00,3.00,11.25,3.90
155,6756,2003-1,3.00,3.00,12.00,3.60
156,6762,2004-1,3.00,3.00,11.25,3.90
157,6793,2004-2,12.00,12.00,42.00,3.50
158,6816,2005-2,3.00,0.00,0.00,3.55
159,6848,2006-1,3.00,3.00,0.00,2.67
160,6853,2007-1,3.00,3.00,10.50,3.63
161,6880,2005-2,3.00,3.00,9.00,3.55
162,6887,2005-2,3.00,3.00,11.25,3.55
163,6896,2006-2,12.00,12.00,48.00,3.90
164,6904,2005-2,3.00,3.00,10.50,3.55
165,6934,2005-2,3.00,3.00,10.50,3.55
166,6960,2006-1,3.00,3.00,4.50,2.67
167,7018,2006-2,3.00,3.00,10.50,3.90
168,7020,2005-2,3.00,3.00,12.00,3.55
169,7026,2006-1,3.00,3.00,9.00,2.67
170,7065,2007-1,3.00,3.00,11.25,3.63
171,7079,2006-1,3.00,3.00,10.50,2.67
172,7090,2003-1,3.00,3.00,12.00,3.83
173,7096,2003-2,3.00,3.00,12.00,3.83
174,7126,2003-2,3.00,3.00,11.25,3.83
175,7135,2003-2,3.00,3.00,12.00,3.83
176,7186,2003-1,3.00,3.00,12.00,3.83
177,7217,2004-1,3.00,3.00,11.25,3.88
178,7226,2004-1,3.00,3.00,11.25,3.88
179,7253,2003-1,3.00,3.00,10.50,3.83
180,7258,2003-1,3.00,3.00,11.25,3.83
181,7293,2003-2,3.00,3.00,11.25,3.83
182,7335,2003-1,3.00,3.00,12.00,3.83
183,7340,2003-1,3.00,3.00,11.25,3.83
184,7407,2003-2,3.00,3.00,11.25,3.83
185,7424,2004-1,3.00,3.00,12.00,3.88
186,7430,2004-1,3.00,3.00,12.00,3.88
187,7439,2004-2,12.00,12.00,42.00,3.50
188,7448,2003-2,3.00,3.00,11.25,3.83
189,7452,2008-1,3.00,3.00,11.25,3.83
190,7457,2008-2,3.00,3.00,11.25,3.75
191,7467,2009-1,3.00,3.00,7.50,2.75
192,7477,2008-2,3.00,0.00,0.00,3.75
193,7492,2009-1,3.00,3.00,9.00,2.75
194,7505,2013-2,3.00,3.00,10.50,3.75
195,7512,2014-1,3.00,3.00,4.50,1.50
196,7535,2008-1,3.00,3.00,11.25,3.83
197,7575,2008-2,3.00,3.00,11.25,3.75
198,7581,2014-1,3.00,3.00,3.00,1.50
199,7631,2014-2,3.00,0.00,0.00,
200,7662,2013-2,3.00,3.00,11.25,3.75
201,7687,2008-1,3.00,3.00,12.00,3.83
202,7707,2014-1,3.00,3.00,6.00,1.50
203,7710,2013-2,3.00,3.00,12.00,3.75
204,7746,2006-2,3.00,3.00,9.00,3.55
205,7755,2007-1,3.00,3.00,10.50,3.00
206,7770,2007-1,3.00,3.00,7.50,3.00
207,7800,2007-1,3.00,3.00,12.00,3.00
208,7842,2008-1,3.00,3.00,6.00,2.00
209,7869,2006-1,3.00,3.00,7.50,3.10
210,7902,2006-2,3.00,3.00,10.50,3.55
211,7914,2006-1,3.00,3.00,9.00,3.10
212,7950,2006-2,3.00,3.00,12.00,3.55
213,7962,2007-1,3.00,3.00,6.00,3.00
214,7973,2007-2,12.00,12.00,45.00,3.36
215,8005,2006-1,3.00,3.00,10.50,3.10
216,8013,2007-1,3.00,3.00,10.50,3.00
217,8016,2007-2,3.00,3.00,9.00,3.36
218,8026,2007-2,3.00,3.00,10.50,3.36
219,8062,2006-1,3.00,3.00,10.50,3.10
220,8067,2006-2,3.00,3.00,6.00,3.55
221,8073,2006-2,3.00,3.00,11.25,3.55
222,8109,2006-2,3.00,3.00,10.50,3.55
223,8147,2007-1,3.00,3.00,7.50,3.00
224,8153,2006-1,3.00,0.00,0.00,3.10
225,8171,2006-1,3.00,3.00,9.00,3.10
226,8182,2007-2,3.00,3.00,6.00,3.36
227,8205,2003-1,3.00,3.00,11.25,3.85
228,8221,2003-2,3.00,3.00,11.25,3.88
229,8234,2004-1,3.00,3.00,12.00,3.60
230,8241,2003-1,3.00,3.00,11.25,3.85
231,8247,2003-1,3.00,3.00,12.00,3.85
232,8271,2003-1,3.00,3.00,12.00,3.85
233,8286,2003-2,3.00,3.00,12.00,3.88
234,8294,2004-1,3.00,3.00,12.00,3.60
235,8300,2004-2,12.00,12.00,30.00,2.50
236,8307,2003-1,3.00,0.00,0.00,3.85
237,8326,2003-1,3.00,3.00,11.25,3.85
238,8339,2003-2,3.00,3.00,12.00,3.88
239,8375,2004-1,3.00,3.00,12.00,3.60
240,8397,2003-2,3.00,3.00,10.50,3.88
241,8404,2003-2,3.00,3.00,12.00,3.88
242,8420,2003-1,3.00,0.00,0.00,3.85
243,8428,2003-2,3.00,3.00,12.00,3.88
244,8440,2004-1,3.00,3.00,9.00,3.60
245,8473,2004-1,3.00,3.00,9.00,3.60
246,8492,2004-1,3.00,3.00,7.50,3.13
247,8521,2005-1,3.00,3.00,7.50,3.29
248,8554,2005-1,3.00,3.00,11.25,3.29
249,8593,2005-2,3.00,3.00,7.50,3.70
250,8602,2005-1,3.00,3.00,10.50,3.29
251,8620,2005-1,3.00,3.00,9.00,3.29
252,8640,2004-1,3.00,3.00,10.50,3.13
253,8675,2004-1,3.00,3.00,6.00,3.13
254,8704,2004-1,3.00,3.00,10.50,3.13
255,8721,2004-2,3.00,3.00,7.50,2.90
256,8751,2004-2,3.00,3.00,0.00,2.90
257,8780,2004-2,3.00,3.00,9.00,2.90
258,8789,2004-2,3.00,3.00,7.50,2.90
259,8792,2005-1,3.00,3.00,9.00,3.29
260,8804,2004-1,3.00,3.00,9.00,3.13
261,8834,2004-2,3.00,3.00,7.50,2.90
262,8858,2004-2,3.00,3.00,12.00,2.90
263,8884,2005-1,3.00,3.00,12.00,3.29
264,8921,2005-2,12.00,12.00,48.00,3.70
265,8942,2009-2,3.00,0.00,0.00,3.50
266,8989,2010-1,3.00,3.00,0.00,0.00
267,9015,2009-2,3.00,3.00,10.50,3.50
268,9021,2009-2,3.00,3.00,10.50,3.50
269,9047,2010-1,3.00,3.00,0.00,0.00
270,9076,2004-3,3.00,3.00,9.00,3.00
271,9093,2005-1,3.00,3.00,10.50,3.63
272,9123,2002-2,3.00,3.00,6.00,2.25
273,9126,2005-1,3.00,3.00,11.25,3.63
274,9140,2005-3,3.00,3.00,11.25,3.38
275,9152,2005-3,3.00,3.00,9.00,3.38
276,9181,2006-1,3.00,3.00,10.50,2.20
277,9202,2001-1,3.00,3.00,3.00,1.60
278,9230,2002-2,3.00,3.00,0.00,2.25
279,9237,2005-2,3.00,3.00,4.50,3.00
280,9244,2006-1,3.00,3.00,0.00,2.20
281,9289,2005-1,3.00,3.00,0.00,3.63
282,9299,2005-2,3.00,3.00,10.50,3.00
283,9318,2005-2,3.00,3.00,7.50,3.00
284,9331,2006-1,3.00,3.00,7.50,2.20
285,9355,2006-1,3.00,3.00,7.50,2.20
286,9367,2004-3,3.00,3.00,9.00,3.00
287,9396,2006-1,3.00,3.00,7.50,2.20
288,9406,2001-1,3.00,3.00,9.00,1.60
289,9431,2001-1,4.00,4.00,4.00,1.60
290,9433,2002-2,3.00,3.00,7.50,2.25
291,9458,2006-1,3.00,0.00,0.00,2.20
292,9464,2004-1,3.00,3.00,11.25,3.06
293,9490,2004-1,3.00,3.00,6.00,3.06
294,9504,2004-2,3.00,3.00,10.50,3.25
295,9510,2004-1,3.00,3.00,9.00,3.06
296,9532,2004-1,3.00,3.00,7.50,3.06
297,9548,2004-2,3.00,3.00,9.00,3.25
298,9567,2005-1,3.00,3.00,6.00,3.04
299,9590,2005-1,3.00,3.00,10.50,3.04
300,9613,2004-2,3.00,3.00,9.00,3.25
301,9649,2004-2,3.00,3.00,12.00,3.25
302,9683,2005-1,3.00,3.00,7.50,3.04
303,9719,2005-1,3.00,3.00,7.50,3.04
304,9751,2004-1,3.00,3.00,9.00,3.06
305,9760,2004-2,3.00,3.00,9.00,3.25
306,9764,2005-1,3.00,3.00,11.25,3.04
307,9772,2005-1,3.00,3.00,12.00,3.04
308,9779,2004-2,3.00,3.00,9.00,3.25
309,9791,2005-2,12.00,12.00,42.00,3.50
310,9822,2001-1,3.00,3.00,11.25,3.31
311,9828,2002-2,3.00,3.00,11.25,3.63
312,9834,2003-1,3.00,3.00,10.50,3.00
313,9838,2003-1,3.00,3.00,7.50,3.00
314,9851,2003-1,4.00,4.00,12.00,3.00
315,9876,2003-2,3.00,3.00,10.50,3.38
316,9888,2004-1,3.00,3.00,9.00,3.33
317,9916,2004-1,3.00,3.00,12.00,3.33
318,9939,2001-1,1.00,1.00,3.00,3.31
319,9942,2001-2,3.00,3.00,12.00,3.30
320,9965,2002-2,3.00,3.00,11.25,3.63
321,9970,2002-2,3.00,3.00,12.00,3.63
322,10001,2001-1,4.00,4.00,12.00,3.31
323,10004,2001-2,3.00,3.00,6.00,3.30
324,10013,2002-1,3.00,3.00,6.00,2.90
325,10018,2002-1,3.00,3.00,6.00,2.90
326,10034,2002-1,3.00,3.00,12.00,2.90
327,10074,2002-2,3.00,3.00,9.00,3.63
328,10086,2003-2,3.00,3.00,10.50,3.38
329,10114,2003-2,3.00,3.00,10.50,3.38
330,10145,2003-2,3.00,3.00,7.50,3.38
331,10156,2004-1,3.00,3.00,9.00,3.33
332,10173,2001-1,3.00,3.00,9.00,3.31
333,10182,2001-1,3.00,3.00,9.00,3.31
334,10208,2001-1,3.00,3.00,12.00,3.31
335,10239,2001-2,3.00,3.00,9.00,3.30
336,10266,2002-1,3.00,3.00,9.00,2.90
337,10275,2004-2,12.00,12.00,48.00,4.00
338,10293,2003-2,3.00,3.00,10.50,3.38
339,10306,2001-2,3.00,3.00,12.00,3.30
340,10321,2001-2,3.00,3.00,10.50,3.30
341,10347,2002-1,3.00,3.00,10.50,2.90
342,10375,2003-2,3.00,3.00,11.25,3.38
343,10382,2001-1,1.00,1.00,2.50,2.74
344,10415,2001-1,4.00,4.00,8.00,2.74
345,10427,2001-2,3.00,3.00,12.00,3.05
346,10437,2002-2,3.00,3.00,6.00,3.13
347,10446,2003-1,3.00,3.00,10.50,3.33
348,10471,2003-2,3.00,3.00,7.50,3.46
349,10500,2004-1,3.00,3.00,9.00,3.15
350,10506,2004-1,3.00,3.00,9.00,3.15
351,10533,2001-1,3.00,3.00,6.00,2.74
352,10542,2002-1,3.00,3.00,7.50,2.64
353,10565,2002-1,3.00,3.00,10.50,2.64
354,10568,2002-1,4.00,4.00,6.00,2.64
355,10591,2003-1,3.00,3.00,10.50,3.33
356,10601,2004-1,3.00,3.00,9.00,3.15
357,10609,2004-1,3.00,3.00,9.00,3.15
358,10614,2001-1,3.00,3.00,10.50,2.74
359,10627,2001-2,3.00,3.00,6.00,3.05
360,10646,2002-2,3.00,3.00,9.00,3.13
361,10653,2003-1,3.00,3.00,9.00,3.33
362,10669,2003-2,3.00,3.00,11.25,3.46
363,10677,2004-1,3.00,3.00,11.25,3.15
364,10697,2000-3,3.00,3.00,9.00,3.00
365,10715,2001-2,3.00,3.00,9.00,3.05
366,10720,2001-2,3.00,3.00,3.00,3.05
367,10731,2002-1,3.00,3.00,9.00,2.64
368,10734,2002-2,3.00,3.00,10.50,3.13
369,10762,2003-1,3.00,3.00,11.25,3.33
370,10773,2003-1,3.00,3.00,11.25,3.33
371,10785,2003-2,3.00,3.00,10.50,3.46
372,10788,2004-2,12.00,12.00,30.00,2.50
373,10793,2001-1,3.00,3.00,9.00,2.74
374,10801,2001-2,3.00,3.00,11.25,3.05
375,10807,2002-1,3.00,3.00,11.25,2.64
376,10832,2003-2,3.00,3.00,10.50,3.46
377,10840,2001-1,3.00,3.00,10.50,2.74
378,10859,2001-2,3.00,3.00,7.50,3.05
379,10863,2002-1,3.00,3.00,6.00,2.64
380,10870,2002-2,3.00,3.00,12.00,3.13
381,10889,2003-1,3.00,3.00,7.50,3.33
382,10901,2003-2,3.00,3.00,10.50,3.46
383,10914,2003-2,3.00,3.00,12.00,3.46
384,10925,2004-1,3.00,3.00,7.50,2.83
385,10955,2004-1,3.00,3.00,7.50,2.83
386,10958,2004-2,3.00,3.00,9.00,2.88
387,10971,2005-1,3.00,3.00,10.50,3.25
388,10977,2005-2,4.00,4.00,4.00,4.00
389,10983,2006-1,3.00,3.00,7.50,2.50
390,11004,2006-1,3.00,3.00,7.50,2.50
391,11029,2006-2,12.00,12.00,48.00,4.00
392,11054,2007-1,3.00,3.00,0.00,
393,11082,2004-1,3.00,3.00,10.50,2.83
394,11096,2004-2,3.00,3.00,9.00,2.88
395,11107,2004-2,3.00,3.00,9.00,2.88
396,11132,2010-1,3.00,3.00,9.00,3.00
397,11138,2005-1,3.00,0.00,0.00,3.25
398,11164,2006-1,3.00,3.00,7.50,2.50
399,11169,2010-1,3.00,3.00,4.50,3.00
400,11191,2004-1,3.00,3.00,4.50,2.83
401,11198,2005-1,3.00,0.00,0.00,3.25
402,11224,2005-1,3.00,3.00,9.00,3.25
403,11250,2005-2,3.00,3.00,12.00,4.00
404,11277,2006-1,3.00,3.00,0.00,2.50
405,11301,2004-2,3.00,3.00,7.50,2.88
406,11319,2009-1,3.00,3.00,4.50,
407,11344,2012-1,3.00,3.00,6.00,2.00
408,11353,2010-1,3.00,3.00,0.00,0.63
409,11356,2010-1,3.00,3.00,7.50,0.63
410,11371,2010-2,3.00,3.00,7.50,2.25
411,11378,2010-2,3.00,3.00,6.00,2.25
412,11404,2010-1,3.00,3.00,0.00,0.63
413,11423,2010-1,3.00,3.00,0.00,0.63
414,11449,2013-1,3.00,3.00,9.00,2.25
415,11462,2013-1,3.00,0.00,0.00,2.25
416,11468,2013-1,3.00,3.00,4.50,2.25
417,11471,2002-1,3.00,3.00,0.00,1.75
418,11506,2003-1,3.00,3.00,10.50,3.50
419,11517,2004-1,3.00,3.00,4.50,1.25
420,11521,2002-1,3.00,3.00,7.50,1.75
421,11551,2002-1,4.00,4.00,10.00,1.75
422,11564,2002-2,3.00,3.00,6.00,1.83
423,11580,2002-2,3.00,3.00,0.00,1.83
424,11618,2003-2,3.00,3.00,6.00,3.00
425,11654,2003-2,3.00,3.00,9.00,3.00
426,11688,2004-1,3.00,3.00,3.00,1.25
427,11692,2002-2,3.00,3.00,10.50,1.83
428,11702,2003-2,3.00,3.00,12.00,3.00
429,11725,2004-2,3.00,3.00,9.00,2.17
430,11743,2005-1,3.00,3.00,0.00,0.00
431,11750,2004-1,3.00,0.00,,1.25
432,11753,2004-2,3.00,3.00,7.50,2.17
433,11782,2005-1,3.00,3.00,0.00,0.00
434,11822,2003-1,3.00,3.00,10.50,3.50
435,11828,2004-2,3.00,3.00,3.00,2.17
436,11854,2005-1,3.00,3.00,0.00,0.00
437,11886,2002-1,3.00,3.00,11.25,3.65
438,11891,2004-1,3.00,3.00,9.00,3.29
439,11900,2001-1,3.00,3.00,10.50,3.33
440,11908,2001-2,3.00,3.00,9.00,3.33
441,11930,2002-1,3.00,3.00,11.25,3.65
442,11964,2002-1,3.00,3.00,11.25,3.65
443,11989,2002-2,3.00,3.00,10.50,3.70
444,11995,2003-2,3.00,3.00,11.25,3.56
445,12009,2003-2,3.00,3.00,10.50,3.56
446,12021,2004-1,3.00,3.00,9.00,3.29
447,12041,2004-1,3.00,3.00,10.50,3.29
448,12064,2001-1,3.00,3.00,9.00,3.33
449,12069,2001-2,3.00,3.00,9.00,3.33
450,12112,2002-1,3.00,3.00,10.50,3.65
451,12118,2002-2,3.00,3.00,12.00,3.70
452,12132,2004-1,3.00,3.00,10.50,3.29
453,12173,2001-1,3.00,3.00,10.50,3.33
454,12198,2002-2,3.00,3.00,10.50,3.70
455,12207,2003-2,3.00,3.00,9.00,3.56
456,,2004-1,3.00,3.00,11.25,3.29
457,,2002-2,3.00,3.00,12.00,3.70
458,,2004-1,3.00,3.00,9.00,3.29
459,,2004-2,12.00,12.00,30.00,2.50
460,,2001-2,3.00,3.00,3.00,3.33
461,,2001-2,3.00,3.00,12.00,3.33
462,,2002-1,3.00,3.00,10.50,3.65
463,,2002-2,3.00,3.00,10.50,3.70
464,,2003-2,3.00,3.00,12.00,3.56
465,,2001-1,4.00,4.00,10.00,3.13
466,,2001-2,3.00,3.00,3.00,3.38
467,,2001-2,3.00,3.00,10.50,3.38
468,,2002-1,3.00,3.00,7.50,2.70
469,,2003-1,3.00,3.00,10.50,3.54
470,,2003-1,3.00,3.00,11.25,3.54
471,,2003-1,3.00,3.00,10.50,3.54
472,,2004-1,3.00,3.00,9.00,3.00
473,,2001-2,3.00,3.00,7.50,3.38
474,,2001-2,3.00,3.00,11.25,3.38
475,,2002-2,3.00,3.00,7.50,3.00
476,,2003-2,3.00,3.00,9.00,3.80
477,,2003-2,12.00,12.00,48.00,3.80
478,,2002-1,3.00,3.00,11.25,2.70
479,,2002-2,3.00,3.00,12.00,3.00
480,,2001-1,3.00,3.00,11.25,3.13
481,,2001-2,3.00,3.00,9.00,3.38
482,,2001-2,3.00,3.00,10.50,3.38
483,,2003-1,3.00,3.00,11.25,3.54
484,,2003-1,3.00,3.00,9.00,3.54
485,,2001-1,3.00,3.00,10.50,3.13
486,,2001-1,3.00,3.00,9.00,3.13
487,,2001-2,3.00,3.00,12.00,3.38
488,,2002-1,3.00,3.00,7.50,2.70
489,,2002-1,3.00,3.00,9.00,2.70
490,,2002-2,3.00,3.00,6.00,3.00
491,,2002-2,3.00,3.00,9.00,3.00
492,,2002-1,4.00,4.00,8.00,2.70
493,,2002-2,3.00,3.00,9.00,3.00
494,,2002-2,3.00,3.00,10.50,3.00
495,,2003-1,3.00,3.00,11.25,3.54
496,,2001-1,3.00,0.00,0.00,
497,,2001-1,3.00,0.00,0.00,
498,,2001-2,3.00,3.00,0.00,3.75
499,,2002-2,3.00,3.00,3.00,2.25
500,,2001-1,1.00,1.00,3.00,2.98
501,,2001-1,3.00,3.00,10.50,2.98
502,,2001-2,3.00,0.00,0.00,3.75
503,,2001-2,3.00,3.00,10.50,3.75
504,,2002-2,3.00,0.00,,2.25
505,,2004-2,3.00,3.00,0.00,0.00
506,,2002-2,3.00,0.00,,2.25
507,,2001-2,3.00,3.00,12.00,3.75
508,,2002-2,3.00,3.00,10.50,2.25
509,,2001-1,3.00,3.00,11.25,2.98
510,,2001-1,3.00,3.00,9.00,2.98
511,,2001-1,4.00,4.00,8.00,2.98
512,,2001-1,3.00,3.00,9.00,2.14
513,,2001-1,1.00,1.00,2.50,2.14
514,,2001-1,3.00,3.00,0.00,2.14
515,,2001-2,3.00,3.00,0.00,0.00
516,,2001-1,3.00,0.00,0.00,2.14
517,,2001-1,4.00,4.00,8.00,2.14
518,,2001-2,3.00,3.00,0.00,0.00
519,,2001-1,3.00,3.00,10.50,2.14
520,,2002-1,3.00,3.00,10.50,3.88
521,,2002-2,3.00,3.00,12.00,3.88
522,,2002-2,3.00,3.00,11.25,3.88
523,,2003-1,3.00,3.00,11.25,3.85
524,,2003-2,3.00,0.00,0.00,3.81
525,,2003-2,3.00,3.00,11.25,3.81
526,,2001-2,3.00,3.00,11.25,3.75
527,,2002-2,3.00,3.00,11.25,3.88
528,,2004-2,12.00,12.00,42.00,3.50
529,,2001-1,3.00,3.00,11.25,3.88
530,,2001-1,3.00,3.00,12.00,3.88
531,,2001-2,3.00,3.00,10.50,3.75
532,,2002-1,3.00,3.00,12.00,3.88
533,,2003-1,3.00,3.00,12.00,3.85
534,,2003-1,3.00,3.00,12.00,3.85
535,,2003-2,3.00,3.00,12.00,3.81
536,,2004-1,3.00,3.00,12.00,3.90
537,,2001-1,1.00,1.00,3.50,3.88
538,,2002-1,3.00,3.00,12.00,3.88
539,,2002-1,3.00,3.00,12.00,3.88
540,,2003-1,3.00,3.00,12.00,3.85
541,,2003-2,3.00,3.00,11.25,3.81
542,,2004-1,3.00,3.00,10.50,3.90
543,,2001-1,3.00,3.00,12.00,3.88
544,,2001-1,3.00,3.00,11.25,3.88
545,,2001-2,3.00,3.00,11.25,3.75
546,,2001-2,3.00,3.00,12.00,3.75
